,행정동,1218_유동인구,1218_거주인구,1218_유동인구/거주인구,2103_유동인구,2103_거주인구,2103_유동인구/거주인구,카메라대수,면적대비_CCTV,보정_범죄자수,보정_면적대비범죄자수,유흥매출액,유흥+일반매출액,여성1인가구수,cctv_re
0,중앙동,2410229.1333333333,5033,478.8851844493013,575172.6,5033,114.28027,42,33.07086614173228,1.0,0.7874015748031495,815118963.0,53751417511,490,87.95839866132143
1,효동,1387323.133333333,26167,53.018043082253726,447480.467,26167,17.1009465,210,87.1369294605809,0.1,0.041493775933609964,1979914031.0,57881696036,936,33.892335342472805
2,신인동,1152292.866666667,12549,91.82348128668951,453473.133,12549,36.1361968,42,50.0,1.0,1.1904761904761905,3350896.0,2839351265,528,71.0292648030537
3,판암1동,1012309.8,12807,79.04347622394003,313242.86699999997,12807,24.458723100000004,61,11.359404096834266,1.0,0.186219739292365,87084825.0,13905259332,640,109.66986070621944
4,판암2동,277661.9333333333,8877,31.27880289887725,95004.6,8877,10.7023319,30,39.473684210526315,3.0,3.947368421052632,90939646.0,1449230531,1313,81.55558059252739
5,용운동,1062037.4,16863,62.98033564608907,466632.93299999996,16863,27.671999800000002,95,27.37752161383285,3.0,0.8645533141210374,111515064.0,17622270036,2302,93.65174318922085
6,대동,741375.6,15478,47.89866907869234,318290.333,15478,20.5640479,46,62.16216216216216,0.1,0.13513513513513514,42273009.0,9155497597,615,58.867102640891545
7,자양동,806077.9333333335,10603,76.02357194504701,389575.667,10603,36.7420227,78,67.82608695652175,1.0,0.8695652173913044,265792234.0,32936262604,2471,53.20317784653196
8,가양1동,1071967.7333333334,14097,76.04225958241706,384745.73299999995,14097,27.292738399999998,69,66.99029126213593,0.1,0.0970873786407767,261334476.0,30551587346,1027,54.03897354091778
9,가양2동,1184586.133333333,18989,62.38275492829182,478168.467,18989,25.1813401,62,37.57575757575758,2.0,1.2121212121212122,593010625.0,26789677902,1578,83.45350722729613
10,용전동,2420121.0000000005,20867,115.97838692672644,966149.6,20867,46.3003594,51,42.5,0.1,0.08333333333333334,1986638259.0,39164392285,1620,78.5292648030537
11,성남동,973825.9333333331,12599,77.29390692382994,361401.467,12599,28.684932699999997,28,32.55813953488372,0.1,0.11627906976744187,319585271.0,24983628392,702,88.47112526816998
12,홍도동,608899.4,11206,54.336908798857756,323499.333,11206,28.8684038,49,77.77777777777777,2.0,3.1746031746031744,221942093.0,15376149398,832,43.251487025275935
13,삼성동,1166344.866666667,14872,78.42555585440199,383377.93299999996,14872,25.778505499999998,55,41.984732824427475,2.0,1.5267175572519085,10386549.0,10048675816,732,79.04453197862622
14,대청동,333754.9333333333,2567,130.01750422023113,18852.8,2567,7.34429295,77,1.2118350645262828,0.1,0.0015738117721120555,182190.2,455854806,125,119.81742973852742
15,산내동,929431.6666666669,21520,43.189203841387865,198381.133,21520,9.21845415,107,2.1238586740770145,1.0,0.01984914648670107,182190.2,12891505671,643,118.9054061289767
16,은행선화동,3170485.266666666,17060,185.84321610003911,910179.333,17060,53.3516608,100,68.49315068493149,7.0,4.794520547945206,1489475013.0,60692674402,1544,52.536114118122214
17,목동,964531.8,14921,64.64257087326587,462559.06700000004,14921,31.0005406,39,55.714285714285715,0.1,0.14285714285714288,182190.2,4640747852,501,65.31497908876798
18,중촌동,1220269.4,13751,88.74041160642862,490455.0,13751,35.6668606,74,61.66666666666667,0.1,0.08333333333333334,384731458.0,20683629710,1003,59.362598136387035
19,대흥동,2274246.0,14151,160.71274114903542,761197.2,14151,53.7910536,92,76.66666666666667,3.0,2.5,5434867550.0,156136553266,1043,44.362598136387035
20,문창동,391056.93333333335,4779,81.82819278789147,142181.333,4779,29.7512729,29,63.04347826086956,1.0,2.1739130434782608,9248173.0,11664192367,380,57.985786542184144
21,석교동,888891.0666666668,16060,55.34813615608136,262882.2,16060,16.3687547,103,23.842592592592588,3.0,0.6944444444444444,6427954.0,3025024932,832,97.18667221046113
22,대사동,992119.6,5532,179.34193781634133,300407.13300000003,5532,54.30353100000001,49,24.25742574257425,1.0,0.4950495049504951,1821902.0,8974463134,563,96.77183906047946
23,부사동,503976.33333333343,6905,72.98715906348058,134236.333,6905,19.4404538,61,53.50877192982457,0.1,0.08771929824561404,1746430186.0,14107425686,438,67.52049287322913
24,용두동,1348512.4,10022,134.55521851925764,619142.8670000001,10022,61.77837420000001,41,50.0,1.0,1.2195121951219512,182190.2,7263774452,793,71.0292648030537
25,오류동,1783595.933333333,10558,168.93312496053542,663133.067,10558,62.8085875,26,39.39393939393939,0.1,0.15151515151515152,3065935521.0,64542799118,552,81.63532540911432
26,태평1동,826022.3333333333,13852,59.6319905669458,402173.667,13852,29.0336173,35,50.0,0.1,0.14285714285714288,1448915776.0,21904701588,419,71.0292648030537
27,태평2동,2692757.1333333333,26811,100.43478920343641,1902552.53,26811,70.9616401,57,57.0,0.1,0.1,1514221881.0,21460591370,810,64.0292648030537
28,유천1동,838197.1333333334,6758,124.03035414817008,519206.73299999995,6758,76.82846009999999,49,81.66666666666667,2.0,3.333333333333333,3459088265.0,17782401070,419,39.362598136387035
29,유천2동,908484.4,13933,65.20378956434365,429889.533,13933,30.8540539,48,68.57142857142857,1.0,1.4285714285714286,332031494.0,32688030327,678,52.45783623162514
30,문화1동,2735302.533333333,23041,118.71457546692127,973195.8670000001,23041,42.237570700000006,63,29.032258064516128,1.0,0.4608294930875576,201111707.0,26435025730,796,91.99700673853758
31,문화2동,580746.7333333333,13081,44.39620314450985,261971.867,13081,20.0268991,53,36.55172413793104,1.0,0.6896551724137931,2039109.0,11491093158,853,84.47754066512266
32,산성동,2461865.333333333,28146,87.4676804282432,1261536.27,28146,44.8211564,133,3.2025042138213338,3.0,0.07223693715386467,553991261.0,28961700041,1245,117.82676058923238
