,행정동,카메라대수,면적(km^2),면적대비_CCTV
0,가양1동,69,1.03,66.99029126213593
1,가양2동,62,1.65,37.57575757575758
2,대동,46,0.74,62.16216216216216
3,대청동,77,63.54,1.2118350645262828
4,산내동,107,50.38,2.1238586740770145
5,삼성동,55,1.31,41.98473282442748
6,성남동,28,0.86,32.55813953488372
7,신인동,42,0.84,50.0
8,용운동,95,3.47,27.37752161383285
9,용전동,51,1.2,42.5
10,자양동,78,1.15,67.82608695652175
11,중앙동,42,1.27,33.07086614173228
12,판암1동,61,5.37,11.359404096834265
13,판암2동,30,0.76,39.473684210526315
14,홍도동,49,0.63,77.77777777777777
15,효동,210,2.41,87.1369294605809
