,행정동,카메라대수,면적(km^2),면적대비_CCTV
0,가수원동,95,10.1,9.405940594059405
1,가장동,33,0.57,57.89473684210527
2,갈마1동,70,1.5,46.666666666666664
3,갈마2동,46,0.73,63.013698630136986
4,관저1동,20,1.01,19.801980198019802
5,관저2동,64,4.56,14.035087719298247
6,괴정동,57,1.26,45.23809523809524
7,기성동,44,49.16,0.8950366151342556
8,내동,47,0.99,47.474747474747474
9,도마1동,72,1.63,44.171779141104295
10,도마2동,59,1.77,33.333333333333336
11,둔산1동,16,1.07,14.953271028037383
12,둔산2동,26,2.4,10.833333333333334
13,둔산3동,25,0.75,33.333333333333336
14,만년동,24,1.71,14.035087719298247
15,변동,60,1.48,40.54054054054054
16,복수동,48,1.78,26.96629213483146
17,용문동,47,0.98,47.95918367346939
18,월평1동,52,2.8,18.571428571428573
19,월평2동,3,0.66,4.545454545454545
20,월평3동,28,0.9,31.11111111111111
21,정림동,64,6.04,10.596026490066226
22,탄방동,60,1.65,36.36363636363637
