,행정동,카메라대수,면적(km^2),면적대비_CCTV
0,대사동,49,2.02,24.257425742574256
1,대흥동,92,1.2,76.66666666666667
2,목동,39,0.7,55.714285714285715
3,문창동,29,0.46,63.04347826086956
4,문화1동,63,2.17,29.03225806451613
5,문화2동,53,1.45,36.55172413793104
6,부사동,61,1.14,53.50877192982457
7,산성동,133,41.53,3.2025042138213338
8,석교동,103,4.32,23.84259259259259
9,오류동,26,0.66,39.39393939393939
10,용두동,41,0.82,50.0
11,유천1동,49,0.6,81.66666666666667
12,유천2동,48,0.7,68.57142857142857
13,은행선화동,100,1.46,68.4931506849315
14,중촌동,74,1.2,61.66666666666667
15,태평1동,35,0.7,50.0
16,태평2동,57,1.0,57.0
