,1218_유동인구/거주인구,2103_유동인구/거주인구,면적대비_CCTV,보정_면적대비범죄자수,유흥매출액,여성1인가구수
중앙동,0.06347550805465803,0.04039892257967182,0.012697929764944068,0.013465087338107305,0.007243686896484813,0.0059651343981301135
효동,0.007027461550266618,0.006045311353329927,0.004892795916007253,0.0007095709925060696,0.01759482722587713,0.011394624074795478
신인동,0.012171063785827056,0.012774413438531293,0.010253990857628,0.020357929665947936,2.977828089945115e-05,0.006427736657576936
판암1동,0.010477093413300305,0.008646339923020222,0.015832259451889527,0.003184480618137109,0.000773893424603316,0.007791195948578107
판암2동,0.004145958091459682,0.003783353660697968,0.01177360036180985,0.06750260889235372,0.0008081499167639509,0.015984125438254768
용운동,0.008347948385969795,0.009782257055788314,0.013519837508185929,0.01478443307152415,0.00099099670664571,0.02802395792754187
대동,0.006348896256642945,0.007269543369443937,0.008498225822390888,0.002310900124242741,0.0003756659521713085,0.007486852356836771
자양동,0.010076809661361713,0.01298857738503632,0.007680565197285295,0.0148701399299098,0.002362005805296453,0.03008132060771328
가양1동,0.010079286679475708,0.00964818533950642,0.007801223089955874,0.001660258341688958,0.0023223912156745178,0.012502434748733929
가양2동,0.008268739964206932,0.008901790389122161,0.012047590560291107,0.02072807384169244,0.0052698851195647775,0.01921016751071289
용전동,0.015372760053120929,0.016367520262347827,0.011336712629357556,0.0014250550766163562,0.017654583168829698,0.01972146474483833
성남동,0.010245190644520705,0.01014033634458858,0.012771948466301407,0.001988448944115847,0.002840046355113744,0.00854596805609661
홍도동,0.0072022752094396,0.01020519473846976,0.006243910221592615,0.05428781244252786,0.0019723244137586264,0.010128554733151536
삼성동,0.010395189001413237,0.009112892784678785,0.011411098094590885,0.02610787926625388,9.230175263509056e-05,0.008911180366186208
대청동,0.0172336238505026,0.002596261999463946,0.017297191974743994,2.691322146584241e-05,1.6190627679066118e-06,0.0015217179587066608
산내동,0.005724663751000877,0.003258791876411425,0.0171655295989584,0.000339433523608501,1.6190627679066118e-06,0.007827717179587067
은행선화동,0.024633237660144098,0.018860207577004427,0.007584265941034589,0.08198947016148894,0.013236461331484987,0.018796260225944682
목동,0.008568275155261542,0.010958920902333991,0.009429059983929296,0.002442951559913753,1.6190627679066118e-06,0.006099045578496298
중촌동,0.01176240755532053,0.01260849961274459,0.008569756990493144,0.0014250550766163562,0.0034189785141584285,0.012210264900662248
대흥동,0.021302231153847197,0.01901553618892725,0.006404313447034031,0.042751652298490685,0.04829783214853945,0.012697214647448385
문창동,0.010846203388770324,0.010517295509835496,0.008370996472011387,0.03717534982477449,8.218538963928453e-05,0.00462602259446825
석교동,0.0073363118686282786,0.005786476124452095,0.01403015012322801,0.011875458971802972,5.712305598883136e-05,0.010128554733151536
대사동,0.023771503040943068,0.01919670074871024,0.013970263605478643,0.008465673722473404,1.6190627679066118e-05,0.006853817686014802
부사동,0.009674337719067694,0.006872344526136371,0.009747454356234059,0.0015000579753856387,0.015519935160622363,0.005332099727308141
용두동,0.01783509102862969,0.02183911322928966,0.010253990857628,0.020854464535849108,1.6190627679066118e-06,0.009653778730035057
오류동,0.022391830614810457,0.02220330126758576,0.011785112555023337,0.002591009230211556,0.02724593337541458,0.006719906505648615
태평1동,0.00790413030192248,0.010263598935411336,0.010253990857628,0.002442951559913753,0.012876025092206478,0.005100798597584728
태평2동,0.013312479646622966,0.02508546579848328,0.009243450537347087,0.0017100660919396272,0.013456378388500676,0.009860732372419164
유천1동,0.016440036149390932,0.027159430157938057,0.00568249893254767,0.05700220306465425,0.030739749013746,0.005100798597584728
유천2동,0.008642663845291488,0.010907136768010098,0.007572965518107213,0.024429515599137527,0.0029506517348782076,0.00825379820802493
문화1동,0.01573543771232212,0.01493129434033289,0.013280954950635368,0.007880488902947586,0.001787211809382962,0.009690299961044018
문화2동,0.0058846496859915115,0.0070796572868772455,0.012195423000039623,0.011793559254756048,1.8120872920734952e-05,0.010384203350214257
산성동,0.011593708959549138,0.015844611036839186,0.01700981319764372,0.0012352993681239775,0.0049231332115049825,0.015156310868718346
복수동,0.011821257755635816,0.019906417254675433,0.013579203789531516,0.0009607112876065314,0.009316474129131865,0.013464160498636541
도마1동,0.015766063947316743,0.02258619253467433,0.011095369739544642,0.020982406036069046,0.002561646165115845,0.02036667315932996
도마2동,0.010808097654681902,0.01008074874623198,0.012660039239249236,0.009661390349941396,0.002125760110737363,0.01830931047915854
정림동,0.0074637062078961825,0.00753365017156265,0.015942462859209344,0.0056624705031113436,0.005599603891046699,0.007328593689131279
변동,0.009890990342985193,0.014353120982827438,0.01161958588503466,0.0011554500621213705,0.0012128357798538475,0.011017238021036229
용문동,0.021301065709764845,0.03146895291275164,0.01054860902680612,0.03489930799876788,0.019151025780758425,0.019064082586677054
탄방동,0.02263680610979257,0.02370590750359537,0.012222575897136292,0.010364036920846222,0.048175032268704766,0.03249172185430463
괴정동,0.01267275944623703,0.018202158972125817,0.010941433252376922,0.013571953110631968,0.015714983071137684,0.02319098169068952
가장동,0.010765825218977695,0.016207711191423186,0.009114283729491636,0.060002319015425534,0.014502500465013937,0.006707732761978964
내동,0.005978762466138228,0.006623411145942774,0.01061854364272214,0.0017273394868077047,0.0003565234952212992,0.009860732372419164
갈마1동,0.010446390692401062,0.01443488388908338,0.010735200533952249,0.0011400440612930852,0.01524682942181089,0.02018406700428516
갈마2동,0.00769776798710651,0.011543876440956615,0.008375295545951166,0.07027668870984773,0.02231748555777327,0.027950915465523956
월평1동,0.013929821016604643,0.014675125582518924,0.014791110662970904,0.006107378899784382,0.033943834438737004,0.015898909232567194
