관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
대전광역시 대덕구청,대전광역시 대덕구 비래서로61번길 35,대전광역시 대덕구 비래동 138-4,생활방범,1,240,,30,Aug.08,042-608-6097,36.3559908,127.4522526,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 옛신탄진로151번길 11,대전광역시 대덕구 오정동 435-14,생활방범,1,240,,30,Aug.08,042-608-6097,36.3526777,127.4174395,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 대전로1066번길 35,대전광역시 대덕구 오정동 441-12,생활방범,2,240,,30,Aug.18,042-608-6097,36.3502814,127.4174184,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 중리남로27번길 11,대전광역시 대덕구 중리동 195-1,생활방범,1,240,,30,Aug.08,042-608-6097,36.3605387,127.428727,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 중리남로 45,대전광역시 대덕구 중리동 207-2,생활방범,1,240,,30,Aug.08,042-608-6097,36.3607953,127.4267614,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 한밭대로1146번길 46,대전광역시 대덕구 중리동 234-7,생활방범,1,240,,30,Aug.08,042-608-6097,36.3576476,127.4257257,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 계족로574번길 46,대전광역시 대덕구 중리동 113-1,생활방범,1,240,,30,Aug.08,042-608-6097,36.363278,127.433869,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 신탄진동로47번길 52,대전광역시 대덕구 신탄진동 131-37,생활방범,1,240,,30,Aug.08,042-608-6097,36.4506014,127.4339941,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 덕암로153번길 15,대전광역시 대덕구 덕암동 79-1,생활방범,1,240,,30,Aug.08,042-608-6097,36.4345494,127.4209842,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 우암동로 23,대전광역시 대덕구 비래동 115-36,어린이보호,1,240,,30,Oct.09,042-608-6097,36.3600055,127.4524352,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 계족산로52번길 79,대전광역시 대덕구 송촌동 492-6,어린이보호,1,240,,30,Oct.09,042-608-6097,36.3603074,127.4404499,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 계족로608번길 46,대전광역시 대덕구 법동 208-1,어린이보호,1,240,,30,Oct.09,042-608-6097,36.3663621,127.4329699,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 대전로1364번길 31,대전광역시 대덕구 읍내동 316-3,어린이보호,1,240,,30,Oct.09,042-608-6097,36.3747893,127.4223067,2019.3.31
대전광역시 대덕구청,,대전광역시 대덕구 읍내동 297-1,어린이보호,1,130,,30,Oct.09,042-608-6097,36.3772996,127.4227881,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 회덕로14,대전광역시 대덕구 신대동 221-7,어린이보호,1,130,,30,Oct.09,042-608-6097,36.3983976,127.4217277,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 장동 359-4,대전광역시 대덕구 장동 359-4,차량방범,2,200,,30,Sep.09,042-608-6097,36.4134363,127.4378002,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 선비마을로 155,대전광역시 대덕구 송촌동 442,차량방범,2,200,,30,Sep.09,042-608-6097,36.3700699,127.4372089,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 선비마을로 155,대전광역시 대덕구 송촌동 442,어린이보호,1,130,,30,Oct.09,042-608-6097,36.3688523,127.4378117,2019.3.31
대전광역시 대덕구청,대전광역시 대덕구 중리북로 20,대전광역시 대덕구 법동 284-4,어린이보호,1,240,,30,Oct.09,042-608-6097,36.3681863,127.4276979,2019.3.31
