관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
대전광역시 동구,대전광역시 동구 계족로446번길 19(용전동),,생활방범,1,200,,30,Dec.17,042-251-4175,36.3513388,127.4336686,2020.3.5
대전광역시 동구,대전광역시 동구 계족로 459(용전동),,생활방범,1,200,,30,Aug.08,042-251-4175,36.3527822,127.4318189,2020.3.5
대전광역시 동구,대전광역시 동구 동서대로1678번길 38(성남동),,생활방범,1,200,,30,Aug.08,042-251-4175,36.3470034,127.4363066,2020.3.5
대전광역시 동구,대전광역시 동구 한남로7번길 22(홍도동),,생활방범,1,200,,30,Aug.08,042-251-4175,36.3502319,127.4276117,2020.3.5
대전광역시 동구,대전광역시 동구 태전로 146(삼성동),,생활방범,1,200,,30,Aug.08,042-251-4175,36.3411634,127.4211332,2020.3.5
대전광역시 동구,대전광역시 동구 계족로368번길 129(가양동),,생활방범,1,200,,30,Aug.08,042-251-4175,36.3446299,127.4408969,2020.3.5
대전광역시 동구,대전광역시 동구 우암로326번길 40(가양동),,생활방범,1,200,,30,Aug.08,042-251-4175,36.3477884,127.4531671,2020.3.5
대전광역시 동구,대전광역시 동구 동대전로183번길 56(자양동),,생활방범,1,200,,30,Aug.08,042-251-4175,36.3402487,127.4484024,2020.3.5
대전광역시 동구,대전광역시 동구 백룡로57번길 135(자양동,,생활방범,1,200,,30,Aug.08,042-251-4175,36.3390226,127.4502419,2020.3.5
대전광역시 동구,대전광역시 동구 대동로 15(자양동),,생활방범,1,200,,30,Aug.08,042-251-4175,36.3333023,127.4472251,2020.3.5
대전광역시 동구,대전광역시 동구 동대전로144번길 67(자양동),,생활방범,1,200,,30,Aug.08,042-251-4175,36.3332392,127.4496514,2020.3.5
대전광역시 동구,대전광역시 동구 용운로1번길 18(대동),,생활방범,1,200,,30,May.09,042-251-4175,36.3294719,127.4444231,2020.3.5
대전광역시 동구,대전광역시 동구 동대전로110번길 74-57(대동),,생활방범,1,200,,30,May.09,042-251-4175,36.33016906,127.4488196,2020.3.5
대전광역시 동구,대전광역시 동구 가양로 61(가양동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3418801,127.4412412,2020.3.5
대전광역시 동구,대전광역시 동구 현암로 19(삼성동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3418804,127.4203113,2020.3.5
대전광역시 동구,대전광역시 동구 성남로32번길 5(성남동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3436481,127.4295625,2020.3.5
대전광역시 동구,대전광역시 동구 계족로505번길 49(용전동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3562799,127.4304865,2020.3.5
대전광역시 동구,대전광역시 동구 동서대로 1522(삼성동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3411146,127.4225873,2020.3.5
대전광역시 동구,대전광역시 동구 대동초등5길 25(대동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3252326,127.4477297,2020.3.5
대전광역시 동구,대전광역시 동구 대전로867번길 27(삼성동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3359647,127.4289423,2020.3.5
대전광역시 동구,대전광역시 동구 산내로 1292(낭월동),,어린이보호,1,200,,30,May.09,042-251-4175,36.2792377,127.4699004,2020.3.5
대전광역시 동구,대전광역시 동구 산내로 509(상소동),,어린이보호,1,200,,30,May.09,042-251-4175,36.2290768,127.4485723,2020.3.5
대전광역시 동구,대전광역시 동구 옥천로 610-12(세천동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3417071,127.4938534,2020.3.5
대전광역시 동구,대전광역시 동구 천동초등동길 60(천동),,어린이보호,1,200,,30,May.09,042-251-4175,36.315909,127.4455571,2020.3.5
대전광역시 동구,대전광역시 동구 천개동로 32(추동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3733856,127.4736804,2020.3.5
대전광역시 동구,대전광역시 동구 동부로 55-58(판암동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3240295,127.4583778,2020.3.5
대전광역시 동구,,대전광역시 동구 판암동 346-2,어린이보호,1,200,,30,May.09,042-251-4175,36.3162189,127.4610325,2020.3.5
대전광역시 동구,대전광역시 동구 신기로 112(가오동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3102913,127.4586711,2020.3.5
대전광역시 동구,대전광역시 동구 비래서로42번길 51(가양동),,어린이보호,3,200,,30,May.09,042-251-4175,36.3517429,127.4483246,2020.3.5
대전광역시 동구,대전광역시 동구 동대전로256번길 21(가양동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3453579,127.4478138,2020.3.5
대전광역시 동구,대전광역시 동구 백룡로 123(용운동),,어린이보호,1,200,,30,May.09,042-251-4175,36.3297552,127.4557975,2020.3.5
대전광역시 동구,대전광역시 동구 용운로 208(용운동),,어린이보호,1,200,,30,May.09,042-251-4175,36.325395,127.4649997,2020.3.5
대전광역시 동구,대전광역시 동구 계족로 184-55(자양동),,어린이보호,1,200,,30,May.09,042-251-4175,36.33390208,127.4434146,2020.3.5
대전광역시 동구,,대전광역시 동구 자양동 94-6,어린이보호,1,200,,30,May.09,042-251-4175,36.3365309,127.4488838,2020.3.5
대전광역시 동구,,대전광역시 동구 대성동 285-1,차량방범,4,200,,30,Jul.09,042-251-4175,36.2905033,127.4629865,2020.3.5
대전광역시 동구,대전광역시 동구 성남로28번길 47(성남동),,생활방범,1,200,,30,Aug.10,042-251-4175,36.3455844,127.4317109,2020.3.5
대전광역시 동구,대전광역시 동구 현암로62번길 24(삼성동),,생활방범,1,200,,30,Aug.10,042-251-4175,36.3434006,127.4160226,2020.3.5
대전광역시 동구,대전광역시 동구 동서대로1704번길 47(가양동),,생활방범,1,200,,30,Aug.10,042-251-4175,36.3468702,127.4391424,2020.3.5
대전광역시 동구,대전광역시 동구 한밭대로1297번길 15(용전동),,생활방범,1,200,,30,Aug.10,042-251-4175,36.3540559,127.440089,2020.3.5
대전광역시 동구,대전광역시 동구 정보길 63(가양동),,생활방범,1,200,,30,Aug.10,042-251-4175,36.3359862,127.4421961,2020.3.5
대전광역시 동구,대전광역시 동구 비래서로76번길 12(가양동),,생활방범,1,200,,30,Aug.10,042-251-4175,36.3538191,127.4524752,2020.3.5
