관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
대전광역시 서구청,대전광역시 서구 신갈마로 209번길 65(갈마동),대전광역시 서구 갈마동 301-1,생활방범,1,,360도 전방면,30,Feb.06,042-288-2682,36.3520826,127.3648259,2020.1.7
대전광역시 서구청,대전광역시 서구 계룡로 416번길 28(갈마동),대전광역시 서구 갈마동 344-21,생활방범,1,,360도 전방면,30,Feb.06,042-288-2682,36.3488951,127.3728867,2020.1.7
대전광역시 서구청,대전광역시 서구 관저중로 94번길(관저동),대전광역시 서구 관저동 1016,생활방범,1,,360도 전방면,30,Feb.06,042-288-2682,36.3004514,127.3352062,2020.1.7
대전광역시 서구청,대전광역시 서구 도솔로 388번길 8(괴정동),대전광역시 서구 괴정동 423-21,생활방범,2,,360도 전방면,30,Feb.06,042-288-2682,36.3406739,127.388711,2020.1.7
대전광역시 서구청,대전광역시 서구 괴정로 11번길 73(갈마동),대전광역시 서구 갈마동 1416,생활방범,1,,360도 전방면,30,Jan.07,042-288-2682,36.3425622,127.3765201,2020.1.7
대전광역시 서구청,대전광역시 서구 도솔4길 25(도마동),대전광역시 서구 도마동 120-29,생활방범,1,,360도 전방면,30,Jan.07,042-288-2682,36.3166954,127.372328,2020.1.7
대전광역시 서구청,대전광역시 서구 도솔로 511번길 51(용문동),대전광역시 서구 용문동 215-21,생활방범,1,,360도 전방면,30,Jan.07,042-288-2682,36.342031,127.401156,2020.1.7
대전광역시 서구청,대전광역시 서구 월평중로 13번길 53(월평동),대전광역시 서구 월평동 1041,생활방범,1,,360도 전방면,30,Jan.07,042-288-2682,36.3554745,127.3607093,2020.1.7
대전광역시 서구청,대전광역시 서구 신갈마로 230번길 19(갈마동),대전광역시 서구 갈마동 264-31,생활방범,1,,360도 전방면,30,Aug.07,042-288-2682,36.3541763,127.3703029,2020.1.7
대전광역시 서구청,대전광역시 서구 갈마중로 28(갈마동),대전광역시 서구 갈마동 345-1,생활방범,1,,360도 전방면,30,Aug.07,042-288-2682,36.347594,127.3724643,2020.1.7
