관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
유성구청,대전광역시 유성구 유성대로680번길 46 (구암동),대전광역시 유성구 구암동 598-1,생활방범,2,200,360°,30,Feb.08,042-611-2114,36.353582,127.333042,2020.3.3
유성구청,대전광역시 유성구 월드컵대로275번길 34 (구암동),대전광역시 유성구 구암동 619-1,생활방범,1,200,360°,30,Feb.08,042-611-2114,36.350041,127.331513,2020.3.3
유성구청,대전광역시 유성구 유성대로822번길 20 (장대동),대전광역시 유성구 장대동 317-5,생활방범,1,200,360°,30,Feb.08,042-611-2114,36.364568,127.339545,2020.3.3
유성구청,대전광역시 유성구 궁동로 68 (궁동),대전광역시 유성구 궁동 1-11,생활방범,1,200,360°,30,Feb.08,042-611-2114,36.363862,127.352154,2020.3.3
유성구청,대전광역시 유성구 궁동로2번길 9-2 (궁동),대전광역시 유성구 궁동 417-7,생활방범,1,200,360°,30,Feb.08,042-611-2114,36.361542,127.348118,2020.3.3
유성구청,대전광역시 유성구 대학로159번길 2 (궁동),대전광역시 유성구 궁동 427-11,생활방범,1,200,360°,30,Feb.08,042-611-2114,36.360775,127.351233,2020.3.3
유성구청,대전광역시 유성구 유성대로668번길 107 (구암동),대전광역시 유성구 구암동 544-23,생활방범,1,200,360°,30,Oct.08,042-611-2114,36.351848,127.335564,2020.3.3
유성구청,대전광역시 유성구 월드컵대로253번안길 1 (구암동),대전광역시 유성구 구암동 622-12,생활방범,1,200,360°,30,Oct.08,042-611-2114,36.350228,127.32955,2020.3.3
유성구청,,대전광역시 유성구 원내동 213-5,생활방범,1,200,360°,30,Oct.08,042-611-2114,36.29983,127.316843,2020.3.3
유성구청,대전광역시 유성구 문화원로47번길 47 (궁동),대전광역시 유성구 궁동 458-13,생활방범,2,200,360°,30,Oct.08,042-611-2114,36.362066,127.341829,2020.3.3
유성구청,대전광역시 유성구 문화원로6번길 81 (장대동),대전광역시 유성구 장대동 369-1,생활방범,1,200,360°,30,Oct.08,042-611-2114,36.358494,127.337914,2020.3.3
유성구청,대전광역시 유성구 유성대로821번길 21 (장대동),대전광역시 유성구 장대동 306-1,생활방범,1,200,360°,30,Oct.08,042-611-2114,36.365402,127.337221,2020.3.3
유성구청,대전광역시 유성구 어은로52번길 20 (어은동),대전광역시 유성구 어은동 113-8,생활방범,1,200,360°,30,Oct.08,042-611-2114,36.36367,127.358374,2020.3.3
유성구청,대전광역시 유성구 전민로34번길 43 (전민동),대전광역시 유성구 전민동 346-6,생활방범,3,200,360°,30,Oct.08,042-611-2114,36.398373,127.401121,2020.3.3
유성구청,대전광역시 유성구 진잠로59번길 53 (원내동),대전광역시 유성구 원내동 62,생활방범,1,200,360°,30,Aug.09,042-611-2114,36.29952727,127.3150867,2020.3.3
유성구청,대전광역시 유성구 진잠로149번길 42 (교촌동),대전광역시 유성구 교촌동 618,생활방범,1,200,360°,30,Aug.09,042-611-2114,36.30602216,127.3167695,2020.3.3
유성구청,대전광역시 유성구 문화원로19번길 16 (장대동),대전광역시 유성구 장대동 348,생활방범,1,200,360°,30,Aug.09,042-611-2114,36.361919,127.339612,2020.3.3
유성구청,,대전광역시 유성구 장대동 287,생활방범,1,200,360°,30,Aug.09,042-611-2114,36.360712,127.333182,2020.3.3
