관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
대전광역시 중구청,대전광역시 중구 중앙로138번길 30 (대흥동),대전광역시 중구 대흥동 215,어린이보호,1,200,우리들공원,30,Jan.08,042-606-6090,36.32742481,127.4254561,2020.3.17
대전광역시 중구청,대전광역시 중구 대흥로127번길 3 (대흥동),대전광역시 중구 대흥동 412-9,생활방범,1,200,대전여중 옆,30,Jan.08,042-606-6090,36.32425133,127.4258309,2020.3.17
대전광역시 중구청,대전광역시 중구 대종로 528 (은행동),대전광역시 중구 은행동 24-1,생활방범,1,200,중구선거관리위원회뒤,30,Jan.08,042-606-6090,36.33098486,127.4238227,2020.3.17
대전광역시 중구청,대전광역시 중구 동서대로1440번길 34 (선화동),대전광역시 중구 선화동 162-1,생활방범,1,200,舊 선화2동 청사 앞,30,Jan.08,042-606-6090,36.33495684,127.4167603,2020.3.17
대전광역시 중구청,대전광역시 중구 수도산로 12 (대흥동),대전광역시 중구 대흥동 365-5,어린이보호,1,200,대흥초등학교 정문,30,Aug.08,042-606-6090,36.31972351,127.4259176,2020.3.17
대전광역시 중구청,대전광역시 중구 인창로 18 (문창동),대전광역시 중구 문창동 354,생활방범,1,200,오토바이거리,30,Aug.08,042-606-6090,36.32219027,127.4316284,2020.3.17
대전광역시 중구청,대전광역시 중구 문창로 26 (문창동),대전광역시 중구 문창동 123-21,생활방범,1,200,문창시장입구,30,Aug.08,042-606-6090,36.31583881,127.4355932,2020.3.17
대전광역시 중구청,대전광역시 중구 문화로46번길 50 (산성동),대전광역시 중구 산성동 36-2,생활방범,1,200,민방위교육장 인근,30,Aug.08,042-606-6090,36.30850149,127.3912687,2020.3.17
대전광역시 중구청,대전광역시 중구 태평로 10 (유천동),대전광역시 중구 유천동 327-15,어린이보호,1,200,버드내초등학교정문,30,Aug.08,042-606-6090,36.31783891,127.3920058,2020.3.17
대전광역시 중구청,대전광역시 중구 용두로24번길 1 (용두동),대전광역시 중구 용두동 71-23,어린이보호,1,200,서대전초등학교 인근,30,Aug.08,042-606-6090,36.32675251,127.4094642,2020.3.17
대전광역시 중구청,대전광역시 중구 중교로 73 (은행동),대전광역시 중구 은행동 162-2,생활방범,1,200,중교통,30,Aug.08,042-606-6090,36.32677206,127.4275597,2020.3.17
대전광역시 중구청,대전광역시 중구 문창로 55 (부사동),대전광역시 중구 부사동 94-15,어린이보호,1,200,문창초등학교 정문,30,May.09,042-606-6090,36.31746682,127.4329787,2020.3.17
대전광역시 중구청,대전광역시 중구 대종로 204 (석교동),대전광역시 중구 석교동 68-12,어린이보호,1,200,석교초등학교 인근,30,May.09,042-606-6090,36.30852751,127.4446604,2020.3.17
대전광역시 중구청,대전광역시 중구 보문로 86-7 (부사동),대전광역시 중구 부사동 138-13,어린이보호,1,200,보운초등학교정문,30,May.09,042-606-6090,36.31386777,127.4314132,2020.3.17
대전광역시 중구청,대전광역시 중구 대종로121번길 39 (옥계동),대전광역시 중구 옥계동 25-11,어린이보호,1,200,옥계초등학교 후문,30,May.09,042-606-6090,36.30194704,127.4490141,2020.3.17
대전광역시 중구청,대전광역시 중구 유등천동로292번길 89-14 (산성동),대전광역시 중구 산성동 36-1,어린이보호,1,200,문성초등학교 후문,30,May.09,042-606-6090,36.30867599,127.3908198,2020.3.17
대전광역시 중구청,대전광역시 중구 계백로1615번길 46 (유천동),대전광역시 중구 유천동 10-10,어린이보호,1,200,원평초등학교 후문,30,May.09,042-606-6090,36.3220993,127.3997424,2020.3.17
대전광역시 중구청,대전광역시 중구 보문산로141번길 34 (문화동),대전광역시 중구 문화동 782,어린이보호,1,200,보성초등학교 정문,30,May.09,042-606-6090,36.3066891,127.3965016,2020.3.17
대전광역시 중구청,대전광역시 중구 대둔산로326번길 1 (사정동),대전광역시 중구 사정동 375-1,어린이보호,1,200,산성초등학교 인근,30,May.09,042-606-6090,36.29848532,127.3853004,2020.3.17
대전광역시 중구청,대전광역시 중구 송리로 11 (문화동),대전광역시 중구 문화동 583-1,어린이보호,1,200,대문초등학교 정문,30,May.09,042-606-6090,36.30631812,127.4007351,2020.3.17
대전광역시 중구청,대전광역시 중구 남달미로 87 (목달동),대전광역시 중구 목달동 89,어린이보호,1,200,산서초등학교 정문,30,May.09,042-606-6090,36.26690376,127.4093029,2020.3.17
대전광역시 중구청,대전광역시 중구 문화로 200 (문화동),대전광역시 중구 문화동 284-119,어린이보호,1,200,동문초등학교정문,30,May.09,042-606-6090,36.31425532,127.4061919,2020.3.17
대전광역시 중구청,대전광역시 중구 당디로36번길 125-22 (문화동),대전광역시 중구 문화동 670-25,어린이보호,1,200,문화초등학교 정문,30,May.09,042-606-6090,36.31199696,127.3992365,2020.3.17
