,result
온천1동,0.07920192155261191
탄방동,0.03190527184282069
둔산2동,0.03148747719495769
대흥동,0.028446289590622356
유천1동,0.024056252717674934
온천2동,0.0235808663841669
용문동,0.02353715594003978
중앙동,0.022338795786590933
갈마2동,0.021581141660989935
은행선화동,0.02126418557156028
월평1동,0.020479244752874288
오정동,0.02012180956457195
오류동,0.0191097052175925
중리동,0.018190397092901482
관평동,0.017994420335483253
둔산1동,0.017461321554235628
관저2동,0.017400988964849196
괴정동,0.017298441331945216
신탄진동,0.01703632799838843
용전동,0.01619444834546133
가장동,0.01583855641129224
태평2동,0.015114228343463113
도마1동,0.014542110449814443
갈마1동,0.014457174776077025
구즉동,0.014128586593406415
복수동,0.013000686014261888
자양동,0.012615177211384249
용두동,0.011541024459685873
전민동,0.011529914602157312
신성동,0.011426315039487265
용운동,0.010905007631026635
산성동,0.01089662761263961
법2동,0.010632175890707182
가양2동,0.010604105438009973
효동,0.010515982783985531
월평2동,0.010430020859522467
노은1동,0.010267347237129111
대사동,0.010137054425459405
홍도동,0.009975539555748696
판암2동,0.009712489995060341
송촌동,0.009601668454044365
가수원동,0.009586697195220534
부사동,0.009366097179456238
태평1동,0.009347489586943043
도마2동,0.009296817821211042
관저1동,0.009277917662020515
문화1동,0.009231575536484488
둔산3동,0.008889012575671738
중촌동,0.008624478290252138
석봉동,0.00853458581932933
유천2동,0.008366343285041048
진잠동,0.008350525361238065
변동,0.008094546687309469
만년동,0.007953630782798869
원신흥동,0.007913900330394692
신인동,0.007767299613763651
문창동,0.007681125922357533
삼성동,0.0074875747223970696
회덕동,0.00735850570391427
가양1동,0.0073168788064636395
성남동,0.007060760396425026
정림동,0.00705772509961499
대화동,0.006914220228113358
덕암동,0.006900966288706842
법1동,0.006839122852368498
비래동,0.0063349963453262475
노은3동,0.006195608857036128
판암1동,0.006037322443583765
문화2동,0.00585186815311662
석교동,0.005657521759140724
목동,0.005643472345212431
목상동,0.005475085861005389
노은2동,0.005340502667706802
내동,0.005024282929098435
대동,0.004737268298569217
산내동,0.0036815936116873595
대청동,0.003317711904355065
월평3동,0.003299399017212784
기성동,0.001627310874751076
